assemblyID,Species,clade,subfamily,tribe
ASM2160514v1,Aegilops bicornis,BOP,Pooideae,Triticeae
Aegilops_cylindrica,Aegilops cylindrica,BOP,Pooideae,Triticeae
SRR2219562,Aegilops geniculata,BOP,Pooideae,Triticeae
ASM2160520v1,Aegilops longissima,BOP,Pooideae,Triticeae
aegilops_longissima_6782_assembly,Aegilops longissima,BOP,Pooideae,Triticeae
Aegilops_markgrafii,Aegilops markgrafii,BOP,Pooideae,Triticeae
ASM2160518v1,Aegilops searsii,BOP,Pooideae,Triticeae
aegilops_sharonensis_1644_assembly,Aegilops sharonensis,BOP,Pooideae,Triticeae
ASM2164183v1,Aegilops sharonensis,BOP,Pooideae,Triticeae
ASM2143724v1,Aegilops speltoides,BOP,Pooideae,Triticeae
aegilops_speltoides_cv_tivon,Aegilops speltoides,BOP,Pooideae,Triticeae
Aet_v5.0,Aegilops tauschii,BOP,Pooideae,Triticeae
Aegilops_triuncialis,Aegilops triuncialis,BOP,Pooideae,Triticeae
ASM3246443v1,Aegilops umbellulata,BOP,Pooideae,Triticeae
ERR7747980,Aegilops ventricosa,BOP,Pooideae,Triticeae
Agropyron_cristatum,Agropyron cristatum,BOP,Pooideae,Triticeae
SRR18685846,Alloteropsis angusta,PACMAD,Panicoideae,Paniceae
AANG_UGA4,Alloteropsis angusta,PACMAD,Panicoideae,Paniceae
Alloteropsis_cimicina,Alloteropsis cimicina,PACMAD,Panicoideae,Paniceae
ASEM_AUS1_V1.0,Alloteropsis semialata,PACMAD,Panicoideae,Paniceae
TAN1-04B,Alloteropsis semialata,PACMAD,Panicoideae,Paniceae
RSA5-3,Alloteropsis semialata,PACMAD,Panicoideae,Paniceae
ZAM1505-10,Alloteropsis semialata,PACMAD,Panicoideae,Paniceae
Alomy_genome_v1,Alopecurus myosuroides,BOP,Pooideae,Poeae
DE01087.PacbioCLRassembly,Alopecurus myosuroides,BOP,Pooideae,Poeae
SRR17037945,Amblyopyrum muticum,BOP,Pooideae,Triticeae
KIB_Aluo_1,Ampelocalamus luodianensis,BOP,Bambusoideae,Arundinarieae
AN22TNTL030,Anadelphia polychaeta,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0087,Anadelphia scyphofera,PACMAD,Panicoideae,Andropogoneae
MCRTL031,Anadelphia scyphofera,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0285,Anadelphia trepidaria,PACMAD,Panicoideae,Andropogoneae
AN22TNTL149,Anadelphia trispiculata,PACMAD,Panicoideae,Andropogoneae
Av-Kellogg1287_8-REFERENCE-PanAnd-1.0,Anatherum virginicum,PACMAD,Panicoideae,Andropogoneae
AN20T168,Andropogon amethystinus,PACMAD,Panicoideae,Andropogoneae
MCRTL036,Andropogon andringitrensis,PACMAD,Panicoideae,Andropogoneae
AN22TNTL109,Andropogon angustatus,PACMAD,Panicoideae,Andropogoneae
MCRTL045,Andropogon appendiculatus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0183,Andropogon arctatus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0242,Andropogon arenarius,PACMAD,Panicoideae,Andropogoneae
AN22TNTL031,Andropogon aridus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL108,Andropogon auriculatus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0177,Andropogon bicornis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0179,Andropogon bicornis,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0217,Andropogon bicornis,PACMAD,Panicoideae,Andropogoneae
AN21TS04,Andropogon brachystachyus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL113,Andropogon brazzae,PACMAD,Panicoideae,Andropogoneae
Ab-Traiperm_572-DRAFT-PanAnd-1.0,Andropogon burmanicus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0076,Andropogon campestris,PACMAD,Panicoideae,Andropogoneae
AN21TS35,Andropogon capillipes,PACMAD,Panicoideae,Andropogoneae
AN22TNTL110,Andropogon carinatus,PACMAD,Panicoideae,Andropogoneae
Ac-Pasquet1232-DRAFT-PanAnd-1.0,Andropogon chinensis,PACMAD,Panicoideae,Andropogoneae
AN22TNTL123,Andropogon chrysostachyus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0243,Andropogon crossotos,PACMAD,Panicoideae,Andropogoneae
AN22TNTL171,Andropogon crossotos,PACMAD,Panicoideae,Andropogoneae
AN22TNTL026,Andropogon crucianus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL125,Andropogon curvifolius,PACMAD,Panicoideae,Andropogoneae
AN22TNTL122,Andropogon durifolius,PACMAD,Panicoideae,Andropogoneae
AN20T169,Andropogon eucomus,PACMAD,Panicoideae,Andropogoneae
AN20T021,Andropogon eucomus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL111,Andropogon eucomus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL121,Andropogon exaratus,PACMAD,Panicoideae,Andropogoneae
AN21TS24,Andropogon floridanus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0074,Andropogon gayanus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0184,Andropogon gayanus,PACMAD,Panicoideae,Andropogoneae
Ag-CAM1351-DRAFT-PanAnd-1.0,Andropogon gerardii,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0105,Andropogon glaucophyllus,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0185,Andropogon glomeratus,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0077,Andropogon greenwayi,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0246,Andropogon gyrans,PACMAD,Panicoideae,Andropogoneae
AN21TSTL0247,Andropogon hallii,PACMAD,Panicoideae,Andropogoneae
MCRTL041,Andropogon heterantherus,PACMAD,Panicoideae,Andropogoneae
AN22TNTL118,Andropogon hypogynus,PACMAD,Panicoideae,Andropogoneae
AN20T170,Andropogon ibityensis,PACMAD,Panicoideae,Andropogoneae
AN20T022,Andropogon ibityensis,PACMAD,Panicoideae,Andropogoneae
AN21TNTL0111,Andropogon ingratus,PACMAD,Panicoideae,Andropogoneae
AN20T039,Andropogon itremoensis,PACMAD,Panicoideae,Andropogoneae
MCRTL057,Andropogon itremoensis,PACMAD,Panicoideae,Andropogoneae
AN20T172,Andropogon ivohibensis,PACMAD,Panicoideae,Andropogoneae
