MatrixID	Name	Class	Family	Type	UniprotID	SpeciesName	BaseID	TaxGroup	Cluster	ClusterColor	ClusterDesc
MA0001.3	AGL3	MADS box factors	Type II		P29383	Arabidopsis thaliana	MA0001	plants	cluster_23	0,139,139	MIKC
MA0005.3	AG	MADS box factors	Type II		P17839	Arabidopsis thaliana	MA0005	plants	cluster_23	0,139,139	MIKC
MA0008.4	HAT5	Homeo domain factors	HD-ZIP		Q02283	Arabidopsis thaliana	MA0008	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0020.2	Dof2	Other C4 zinc finger-type factors	DOF	SELEX	Q41800	Zea mays	MA0020	plants	cluster_03	0,255,255	DOF_CDF
MA0021.1	Dof3	Other C4 zinc finger-type factors	DOF	SELEX	Q41801	Zea mays	MA0021	plants	cluster_03	0,255,255	DOF_CDF
MA0034.2	Gam1	Tryptophan cluster factors	MYB	SELEX	Q96464	Hordeum vulgare	MA0034	plants	cluster_11	138,43,226	MYB
MA0053.1	MNB1A	Other C4 zinc finger-type factors	DOF	SELEX	P38564	Zea mays	MA0053	plants	cluster_03	0,255,255	DOF_CDF
MA0054.1	myb.Ph3	Tryptophan cluster factors	Myb	SELEX	Q02994	Petunia x hybrida	MA0054	plants	cluster_11	138,43,226	MYB
MA0064.1	PBF	Other C4 zinc finger-type factors	DOF	SELEX	O24463	Zea mays	MA0064	plants	cluster_03	0,255,255	DOF_CDF
MA0082.2	squamosa	MADS box factors	Type II		Q38742	Antirrhinum majus	MA0082	plants	cluster_23	0,139,139	MIKC
MA0096.1	bZIP910	Basic leucine zipper factors (bZIP)	Group S	SELEX	O22676	Antirrhinum majus	MA0096	plants	cluster_14	95,158,160	BZIP_TGA
MA0097.1	bZIP911	Basic leucine zipper factors (bZIP)	Group S	SELEX	O22677	Antirrhinum majus	MA0097	plants	cluster_14	95,158,160	BZIP_TGA
MA0110.4	ATHB-5	Homeo domain factors	HD-ZIP	DAP-seq	P46667	Arabidopsis thaliana	MA0110	plants	cluster_09	255,235,205	HDZIP_PLINC_AHL
MA0121.2	ARR10	Tryptophan cluster factors	GARP_ARR-B	SELEX	O49397	Arabidopsis thaliana	MA0121	plants	cluster_13	222,184,135	RVE_ARR_GATA
MA0123.1	abi4	AP2/EREBP	ERF/DREB	SELEX	Q8L7W9	Zea mays	MA0123	plants	cluster_24	184,134,11	ERF_DREB_B
MA0128.1	EmBP-1	Basic leucine zipper factors (bZIP)	Group G	SELEX	P25032	Triticum aestivum	MA0128	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0129.1	TGA1A	Basic leucine zipper factors (bZIP)	Group D	SELEX	P14232	Nicotiana sp.	MA0129	plants	cluster_14	95,158,160	BZIP_TGA
MA0548.3	AGL15	MADS box factors	Type II		Q38847	Arabidopsis thaliana	MA0548	plants	cluster_23	0,139,139	MIKC
MA0549.2	BZR2	Basic helix-loop-helix factors (bHLH)	BES/BZR	ChIP-chip	Q9LN63	Arabidopsis thaliana	MA0549	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0550.3	BZR1	Basic helix-loop-helix factors (bHLH)	BES/BZR	ChIP-chip	Q8S307	Arabidopsis thaliana	MA0550	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0551.2	HY5	Basic leucine zipper factors (bZIP)	Group H	ChIP-chip	O24646	Arabidopsis thaliana	MA0551	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0552.2	PIF1	Basic helix-loop-helix factors (bHLH)	bHLH	ChIP-chip	Q8GZM7	Arabidopsis thaliana	MA0552	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0553.1	SMZ	AP2/EREBP	AP2	ChIP-chip	Q6PV68	Arabidopsis thaliana	MA0553	plants	cluster_36	72,61,139	SMZ_RAP2-7_TOE2
MA0554.2	SOC1	MADS box factors	Type II		O64645	Arabidopsis thaliana	MA0554	plants	cluster_23	0,139,139	MIKC
MA0555.2	SVP	MADS box factors	Type II		Q9FVC1	Arabidopsis thaliana	MA0555	plants	cluster_23	0,139,139	MIKC
MA0556.2	AP3	MADS box factors	Type II		P35632	Arabidopsis thaliana	MA0556	plants	cluster_23	0,139,139	MIKC
MA0557.2	FHY3	GCM domain factors	FRS/FRF	ChIP-seq	Q9LIE5	Arabidopsis thaliana	MA0557	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0558.2	FLC	MADS box factors	Type II		Q5Q9J1	Arabidopsis thaliana	MA0558	plants	cluster_23	0,139,139	MIKC
MA0559.1	PI	MADS box factors	MIKC	ChIP-seq	P48007	Arabidopsis thaliana	MA0559	plants	cluster_23	0,139,139	MIKC
MA0560.2	PIF3	Basic helix-loop-helix factors (bHLH)	bHLH	ChIP-seq	O80536	Arabidopsis thaliana	MA0560	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0561.1	PIF4	Basic helix-loop-helix factors (bHLH)	bHLH	ChIP-seq	Q8W2F3	Arabidopsis thaliana	MA0561	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0562.1	PIF5	Basic helix-loop-helix factors (bHLH)	bHLH	ChIP-seq	Q84LH8	Arabidopsis thaliana	MA0562	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0563.2	SEP3	MADS box factors	Type II		O22456	Arabidopsis thaliana	MA0563	plants	cluster_23	0,139,139	MIKC
MA0564.2	ABI3	B3	LAV	PBM	Q01593	Arabidopsis thaliana	MA0564	plants	cluster_29	139,0,139	ABI
MA0565.3	FUS3	B3	LAV	DAP-seq	Q9LW31	Arabidopsis thaliana	MA0565	plants	cluster_29	139,0,139	ABI
MA0566.1	MYC2	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q39204	Arabidopsis thaliana	MA0566	plants	cluster_07	255,228,196	BHLH_CAMTA
MA0567.1	ERF1B	AP2/EREBP	ERF/DREB	PBM	Q8LDC8	Arabidopsis thaliana	MA0567	plants	cluster_24	184,134,11	ERF_DREB_B
MA0568.2	MYC3	Basic helix-loop-helix factors (bHLH)	bHLH	PBM	Q9FIP9	Arabidopsis thaliana	MA0568	plants	cluster_07	255,228,196	BHLH_CAMTA
